folder,best_frame_1,best_frame_2,diff_image,temporal_count,analysis_image,decoded_text,success,method,note
ex_B6,frame_00027.png,frame_00028.png,ex_B6\rgb_max_diff_maps\00027-00028-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_B6\frame_00027-frame_00028_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_B10,frame_00114.png,frame_00115.png,ex_B10\rgb_max_diff_maps\00114-00115-FRAME_rgbmax_scale1.00.png,13,median_eval_analysis\ex_B10\frame_00114-frame_00115_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_B14,frame_00002.png,frame_00003.png,ex_B14\rgb_max_diff_maps\00002-00003-FRAME_rgbmax_scale1.00.png,11,median_eval_analysis\ex_B14\frame_00002-frame_00003_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_G6,frame_00093.png,frame_00094.png,ex_G6\rgb_max_diff_maps\00093-00094-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_G6\frame_00093-frame_00094_ok_temporal_decode_fallback_median_otsu_x1.0_k5_i1.png,https://www.nagaoka-ct.ac.jp,1,temporal_decode失敗|fallback_median_otsu_x1.0_k5_i1,
ex_G10,frame_00095.png,frame_00096.png,ex_G10\rgb_max_diff_maps\00095-00096-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_G10\frame_00095-frame_00096_ok_temporal_median_n17_gray_x1.0_k5_i1.png,https://www.nagaoka-ct.ac.jp,1,temporal_median_n17_gray_x1.0_k5_i1,
ex_G14,frame_00009.png,frame_00010.png,ex_G14\rgb_max_diff_maps\00009-00010-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_G14\frame_00009-frame_00010_ok_temporal_vote_n17_gray_x1.0_k5_i1.png,https://www.nagaoka-ct.ac.jp,1,temporal_vote_n17_gray_x1.0_k5_i1,
ex_I6,frame_00051.png,frame_00052.png,ex_I6\rgb_max_diff_maps\00051-00052-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_I6\frame_00051-frame_00052_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_I10,frame_00096.png,frame_00097.png,ex_I10\rgb_max_diff_maps\00096-00097-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_I10\frame_00096-frame_00097_ok_temporal_vote_n17_gray_x1.0_k5_i1.png,https://www.nagaoka-ct.ac.jp,1,temporal_vote_n17_gray_x1.0_k5_i1,
ex_I14,frame_00077.png,frame_00078.png,ex_I14\rgb_max_diff_maps\00077-00078-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_I14\frame_00077-frame_00078_ok_temporal_vote_n17_median_gray_x1.0_k5_i1.png,https://www.nagaoka-ct.ac.jp,1,temporal_vote_n17_median_gray_x1.0_k5_i1,
ex_R6,frame_00056.png,frame_00057.png,ex_R6\rgb_max_diff_maps\00056-00057-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_R6\frame_00056-frame_00057_ok_temporal_decode_fallback_gray_x1.0_k5_i1.png,https://www.nagaoka-ct.ac.jp,1,temporal_decode失敗|fallback_gray_x1.0_k5_i1,
ex_R10,frame_00109.png,frame_00110.png,ex_R10\rgb_max_diff_maps\00109-00110-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_R10\frame_00109-frame_00110_ok_temporal_vote_n17_gray_x1.0_k5_i1.png,https://www.nagaoka-ct.ac.jp,1,temporal_vote_n17_gray_x1.0_k5_i1,
ex_R14,frame_00114.png,frame_00115.png,ex_R14\rgb_max_diff_maps\00114-00115-FRAME_rgbmax_scale1.00.png,13,median_eval_analysis\ex_R14\frame_00114-frame_00115_ok_temporal_median_n13_gray_x1.0_k5_i1.png,https://www.nagaoka-ct.ac.jp,1,temporal_median_n13_gray_x1.0_k5_i1,
ex_X6,frame_00014.png,frame_00015.png,ex_X6\rgb_max_diff_maps\00014-00015-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_X6\frame_00014-frame_00015_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_X10,frame_00054.png,frame_00055.png,ex_X10\rgb_max_diff_maps\00054-00055-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_X10\frame_00054-frame_00055_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_X14,frame_00050.png,frame_00051.png,ex_X14\rgb_max_diff_maps\00050-00051-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_X14\frame_00050-frame_00051_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_B6,frame_00109.png,frame_00110.png,nagaoka_B6\rgb_max_diff_maps\00109-00110-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_B6\frame_00109-frame_00110_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_B10,frame_00002.png,frame_00003.png,nagaoka_B10\rgb_max_diff_maps\00002-00003-FRAME_rgbmax_scale1.00.png,11,median_eval_analysis\nagaoka_B10\frame_00002-frame_00003_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
